"문항번호","공식정답","CorpusScope","Baseline답","Baseline정답여부","Sol답","Sol정답여부","상태변화","Baseline법률Tool호출","Sol법률Tool호출","BaselineToolQuery","SolToolQuery","BaselineTopK","BaselineScores","SolTopK","SolScores","SolTool호출횟수","Sol오류","Sol실패유형"
"11","4","in_scope","3","X","4","O","baseline_wrong_to_sol_correct","Y","Y","부동산 거래 정보망의 지정 및 이용","공인중개사법 부동산거래정보망 거래정보사업자 지정 요건 지정취소 청문 거래 완성 통보 기한","공인중개사법 제24조 | 공인중개사법 시행규칙 제15조 | 공인중개사법 제38조 | 공인중개사법 제35조 | 부동산 거래신고 등에 관한 법률 시행규칙 제3조","0.8534533072536697 | 0.8309240611592877 | 0.8297802519665928 | 0.8289872054749735 | 0.8237820689003114","공인중개사법 제24조 | 공인중개사법 시행규칙 제15조 | 공인중개사법 제24조 | 공인중개사법 제38조 | 공인중개사법 제35조","0.8564748688572704 | 0.8349061376593402 | 0.8322573040518271 | 0.8314339178423108 | 0.8304190372149503","1","","success"
"12","2","in_scope","1","X","2","O","baseline_wrong_to_sol_correct","N","Y","","공인중개사법 계약금 등 반환채무이행 보장 예치 명의자 거래당사자 권고 금융기관 예치","","","공인중개사법 제31조 | 공인중개사법 시행령 제27조 | 공인중개사법 시행규칙 제20조 | 상가건물 임대차보호법 제5조 | 공인중개사법 제42조","0.8084361842644543 | 0.800931449897563 | 0.7892817084702838 | 0.7890197750739332 | 0.7866975024787372","1","","success"
"13","3","in_scope","5","X","3","O","baseline_wrong_to_sol_correct","Y","Y","공인중개사법 시세에 부당한 영향을 줄 목적으로 개업 공인 중개사 등의 업무를 방해하는 행위","공인중개사법 시세에 부당한 영향을 줄 목적 개업공인중개사 업무 방해 특정 가격 이하 중개의뢰 유도 정당한 표시 광고 방해 단체 중개 제한 공동중개 제한 | 공인중개사법 제33조 제2항 제4호 정당한 사유 없이 정당한 표시 광고 행위 방해 | ""정당한 사유 없이 개업공인중개사등의 중개대상물에 대한 정당한 표시ㆍ광고 행위를 방해하는 행위""","공인중개사법 제33조 | 공인중개사법 제51조 | 공인중개사법 제18조의2 | 상가건물 임대차보호법 제10조의4 | 공인중개사법 제33조","0.8859061692345506 | 0.8451275855196485 | 0.8335877446800605 | 0.8318583825255316 | 0.8307402308471583","공인중개사법 제33조 | 공인중개사법 제51조 | 집합건물의 소유 및 관리에 관한 법률 제66조 | 공인중개사법 제18조의2 | 상가건물 임대차보호법 제10조의4 | 공인중개사법 제33조 | 공인중개사법 제51조 | 집합건물의 소유 및 관리에 관한 법률 제66조 | 공인중개사법 시행령 제18조 | 공인중개사법 제24조 | 공인중개사법 제33조 | 공인중개사법 제51조 | 공인중개사법 제18조의2 | 공인중개사법 제24조 | 상가건물 임대차보호법 제10조의4","0.8741405492473325 | 0.8389738866573738 | 0.8319932037388634 | 0.8291024415577888 | 0.8228572269493822 | 0.8859907967701316 | 0.8472056951354102 | 0.8409210058519426 | 0.8371800265580247 | 0.8348178360337855 | 0.8841720982353207 | 0.8483340113466658 | 0.8405306504469806 | 0.8369712536434021 | 0.8352958680266472","3","","success"
"14","1","in_scope","1","O","1","O","both_correct","Y","Y","공인중개사법 3년 징역 처벌","공인중개사법 벌칙 3년 이하 징역 거짓 부정한 방법 중개사무소 개설등록 성명 대여 2개 중개사무소 임시 중개시설물 유사 명칭 사용 | 공인중개사법 제48조 벌칙 3년 이하의 징역 거짓이나 그 밖의 부정한 방법으로 중개사무소 개설등록 | 제48조 벌칙 거짓이나 그 밖의 부정한 방법으로 중개사무소의 개설등록을 한 자 3년 이하의 징역 3천만원 이하의 벌금","공인중개사법 제51조 | 공인중개사법 제38조 | 공인중개사법 제35조 | 부동산 거래신고 등에 관한 법률 제12조 | 공인중개사법 제18조","0.8454387145162628 | 0.8451376146736939 | 0.8391715866303775 | 0.8376872644026321 | 0.8334237667880346","공인중개사법 제38조 | 공인중개사법 제35조 | 공인중개사법 제46조 | 공인중개사법 제18조 | 공인중개사법 제49조 | 공인중개사법 제51조 | 공인중개사법 제38조 | 집합건물의 소유 및 관리에 관한 법률 제65조 | 공인중개사법 제39조 | 공인중개사법 제35조 | 집합건물의 소유 및 관리에 관한 법률 제65조 | 공인중개사법 제51조 | 공인중개사법 제48조 | 공인중개사법 제38조 | 집합건물의 소유 및 관리에 관한 법률 제66조","0.8363473856964645 | 0.8298479084428155 | 0.826676420464711 | 0.8245620900280555 | 0.8192295867511984 | 0.8318583401028535 | 0.8317742101951385 | 0.8260555157685947 | 0.8258077816930994 | 0.8238105079348975 | 0.8458957910736754 | 0.8405362265969059 | 0.8379865893422767 | 0.8367631402770161 | 0.8335108248921083","3","","success"
"15","4","in_scope","1","X","4","O","baseline_wrong_to_sol_correct","Y","Y","중개 보수","공인중개사법 중개보수 지급시기 거래 무효 개업공인중개사 과실 주택 소재지 조례 실비 | 공인중개사법 시행령 중개보수 지급시기 약정이 없을 때 거래대금 지급 완료일","공인중개사법 시행규칙 제20조 | 공인중개사법 제32조 | 공인중개사법 제38조 | 주택임대차보호법 제3조의2 | 공인중개사법 제35조","0.8193915826618502 | 0.8142964901871972 | 0.8132046043645381 | 0.8077162409066939 | 0.8057885611377902","공인중개사법 시행규칙 제20조 | 공인중개사법 제32조 | 공인중개사법 제38조 | 주택임대차보호법 제3조의2 | 공인중개사법 제35조 | 공인중개사법 시행규칙 제20조 | 공인중개사법 제32조 | 공인중개사법 제38조 | 주택임대차보호법 제3조의2 | 공인중개사법 제35조","0.8345011723575125 | 0.8142964901871972 | 0.812532926797391 | 0.8077162409066939 | 0.8061627606840555 | 0.836270985089988 | 0.8142964901871972 | 0.8132046043645381 | 0.8077162409066939 | 0.8061627606840555","2","","success"
"16","3","in_scope","2","X","","판정불가","sol_unparsed_or_grounding","Y","Y","개업 공인 중개사 업무 정지 기준","공인중개사법 시행규칙 개업공인중개사 업무정지 기준 개별기준 6개월 인장등록 거래정보사업자 거래완성 통보 거짓 공개 확인설명서 보존 전속중개계약서 서식 | 공인중개사법 시행규칙 별표 2 개업공인중개사 업무정지 기준 6개월 중개대상물 정보 거짓 공개 | ""중개대상물에 관한 정보를 거짓으로 공개한 경우"" ""업무정지 6개월"" 공인중개사법 시행규칙","공인중개사법 제39조 | 공인중개사법 제38조 | 공인중개사법 제51조 | 공인중개사법 제23조 | 공인중개사법 시행령 제13조","0.8443553951274235 | 0.8355060895199479 | 0.8298561747356255 | 0.8245210995768751 | 0.8202232629190532","공인중개사법 제39조 | 공인중개사법 제38조 | 공인중개사법 제51조 | 공인중개사법 제23조 | 부동산 거래신고 등에 관한 법률 제12조 | 공인중개사법 제39조 | 공인중개사법 제38조 | 공인중개사법 제51조 | 공인중개사법 시행령 제21조 | 부동산 거래신고 등에 관한 법률 제12조 | 공인중개사법 제39조 | 공인중개사법 제51조 | 부동산 거래신고 등에 관한 법률 제12조 | 공인중개사법 제23조 | 부동산 거래신고 등에 관한 법률 시행령 제6조","0.8404792529096207 | 0.8283715903394285 | 0.8282443762844024 | 0.8213282769207358 | 0.8152534480287644 | 0.840410991148821 | 0.8325629439307921 | 0.8312435525468257 | 0.8168428147190957 | 0.8166927567339846 | 0.8468915088221003 | 0.8392624556020601 | 0.8270596415033379 | 0.8270224528278646 | 0.8225171895591555","3","","answer_parse_failure"
"17","1","in_scope","4","X","1","O","baseline_wrong_to_sol_correct","N","Y","","공인중개사법 중개사무소 개설등록 취소 사유 확인설명서 미교부 거짓 등록 업무정지 중 중개업무 법인 사원 임원 사망","","","공인중개사법 제38조 | 공인중개사법 제35조 | 공인중개사법 시행령 제18조 | 공인중개사법 제51조 | 공인중개사법 제39조","0.848950804666554 | 0.8244377484508004 | 0.8231983983252052 | 0.8219242649390589 | 0.8158227897819867","1","","success"
"18","2","in_scope","2","O","2","O","both_correct","N","Y","","공인중개사법 공인중개사협회 공제사업 운영 개선 조치 명령 가치가 없다고 인정되는 자산 손실 처리 공제사업 양도 불건전한 자산 적립금 보유 업무집행방법 변경 자산 장부가격 변경","","","공인중개사법 제35조 | 공인중개사법 제42조의4 | 공인중개사법 제42조 | 공인중개사법 제49조 | 공인중개사법 시행규칙 제4조","0.8066323232818364 | 0.8048785637928472 | 0.8017401305761095 | 0.7847047052170198 | 0.7823000976609199","1","","success"
"19","5","in_scope","5","O","5","O","both_correct","Y","Y","중개계약서의 기재사항","공인중개사법 거래계약서 필요적 기재사항 권리이전 내용 물건 인도 일시 계약 조건 기한 중개대상물 확인설명서 교부일자 | 공인중개사법 시행령 제27조 거래계약서 기재사항 거래당사자 인적사항 물건 표시 계약일 거래금액 지급일자 권리이전 내용 물건 인도일시 조건 기한 확인설명서 교부일자","부동산 거래신고 등에 관한 법률 시행규칙 제3조 | 공인중개사법 시행규칙 제20조 | 공인중개사법 제25조 | 공인중개사법 제23조 | 상가건물 임대차보호법 제10조","0.8055743946750291 | 0.805183202971298 | 0.8041635053534479 | 0.8034420403211477 | 0.7953024509314189","공인중개사법 제25조 | 부동산 거래신고 등에 관한 법률 시행규칙 제3조 | 공인중개사법 제23조 | 공인중개사법 시행규칙 제20조 | 상가건물 임대차보호법 제10조 | 부동산 거래신고 등에 관한 법률 시행규칙 제3조 | 공인중개사법 제25조 | 공인중개사법 시행령 제22조 | 공인중개사법 시행규칙 제20조 | 공인중개사법 제23조","0.8139284408523695 | 0.8111300331180393 | 0.8084624832407702 | 0.8050267869892548 | 0.8010872646357433 | 0.8067693495357888 | 0.8028324541123221 | 0.7998262539645585 | 0.799613589690502 | 0.7969822607151601","2","","success"
"20","3","in_scope","3","O","3","O","both_correct","Y","Y","중개 대상물 확인·설명서","공인중개사법 시행규칙 중개대상물 확인 설명서 Ⅱ 비주거용 건축물 개업공인중개사 기본 확인사항 관리비 입지조건 거래예정금액","공인중개사법 시행령 제21조 | 공인중개사법 제51조 | 공인중개사법 제25조 | 부동산 거래신고 등에 관한 법률 시행규칙 제3조 | 공인중개사법 제32조","0.825541887207733 | 0.8227155134486378 | 0.8156594979456523 | 0.809478639622617 | 0.8074065607083344","공인중개사법 시행령 제21조 | 공인중개사법 제51조 | 공인중개사법 제25조 | 공인중개사법 제18조의2 | 부동산 거래신고 등에 관한 법률 시행규칙 제3조","0.8185846563888135 | 0.8181561615229227 | 0.8062554002243719 | 0.7996659089912405 | 0.7985572861632666","1","","success"
